trading_date,session,block_high,block_high_first,block_low,block_low_first,block_open,block_close,block_range_pips,block_return_pips,daily_range_pips,contribution_pct
2000-05-30,Asia,0.9324,0.9307,0.9306,0.9306,0.9306,0.9315,3.9999999999995595,9.000000000000119,76.99999999999929,5.194805194804671
2000-05-30,London,0.9322,0.9306,0.9282,0.9306,0.9306,0.9314,5.999999999999339,8.00000000000023,76.99999999999929,7.792207792207007
2000-05-30,NY,0.9338,0.9296,0.9269,0.9294,0.9294,0.9279,24.00000000000069,-15.000000000000568,76.99999999999929,31.16883116883235
2000-05-30,Post-Asia,0.9322,0.9315,0.9304,0.9315,0.9315,0.9311,5.0000000000005596,-3.9999999999995595,76.99999999999929,6.4935064935072795
2000-05-30,Post-London,0.935,0.9315,0.929,0.9315,0.9315,0.9293,10.000000000000009,-21.999999999999797,76.99999999999929,12.987012987013118
2000-05-30,Post-NY,0.9379,0.9302,0.9151,0.9302,0.9302,0.9304,76.99999999999929,1.9999999999997797,76.99999999999929,100.0
2000-05-31,Asia,0.9377,0.9373,0.9356,0.9372,0.9372,0.9377,6.000000000000449,4.999999999999449,80.99999999999996,7.407407407407966
2000-05-31,London,0.938,0.9358,0.9324,0.9358,0.9358,0.9324,6.000000000000449,-33.99999999999959,80.99999999999996,7.407407407407966
2000-05-31,NY,0.9336,0.9332,0.93,0.9332,0.9332,0.9318,12.999999999999678,-14.000000000000679,80.99999999999996,16.049382716048992
2000-05-31,Post-Asia,0.9377,0.9376,0.9358,0.9376,0.9376,0.9359,2.9999999999996696,-17.000000000000348,80.99999999999996,3.7037037037032974
2000-05-31,Post-London,0.9349,0.9325,0.9325,0.9325,0.9325,0.9331,5.0000000000005596,6.000000000000449,80.99999999999996,6.172839506173534
2000-05-31,Post-NY,0.9382,0.9382,0.9287,0.9301,0.9379,0.9315,80.99999999999996,-63.999999999999616,80.99999999999996,100.0
2000-06-01,Asia,0.9327,0.9318,0.9302,0.9316,0.9316,0.9315,3.00000000000078,-0.9999999999998899,24.999999999999467,12.000000000003375
2000-06-01,London,0.9373,0.9318,0.9318,0.9318,0.9318,0.9365,20.000000000000018,47.00000000000038,24.999999999999467,80.00000000000178
2000-06-01,NY,0.9498,0.9359,0.9339,0.9359,0.9359,0.9445,24.999999999999467,86.00000000000053,24.999999999999467,100.0
2000-06-01,Post-Asia,0.9319,0.9313,0.9308,0.9313,0.9313,0.9308,5.0000000000005596,-5.0000000000005596,24.999999999999467,20.000000000002665
2000-06-01,Post-London,0.9369,0.9362,0.9344,0.9362,0.9362,0.9357,3.9999999999995595,-5.0000000000005596,24.999999999999467,15.999999999998579
2000-06-01,Post-NY,0.9451,0.9316,0.9314,0.9316,0.9316,0.944,9.000000000000119,123.99999999999966,24.999999999999467,36.00000000000124
2000-06-04,Asia,0.9456,0.9452,0.9433,0.9452,0.9452,0.9443,14.999999999999458,-9.000000000000119,14.999999999999458,100.0
2000-06-04,London,0.9457,0.9452,0.943,0.9452,0.9452,0.9448,3.9999999999995595,-4.00000000000067,14.999999999999458,26.666666666664696
